playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
parkeda01,0.5379,2712,339,1493,1272,526,75,683,9358,3949,152,144,47,0,0,0,0,0,0,26,3,11,11,5,0,7,111,3949,152,144,47,0,0,0,0,0,0,6,7,2,0
pepitjo01,0.5169,1315,219,721,606,158,35,302,5097,9036,650,81,785,0,0,0,0,0,0,6,1,5,1,1,0,3,39,9036,650,81,785,0,0,0,0,0,0,3,3,1,0
perezto01,0.5499,2732,379,1652,1272,505,79,925,9778,15127,2440,240,1484,0,0,0,0,0,0,41,6,25,16,6,0,14,172,15127,2440,240,1484,0,0,0,0,0,0,7,0,2,1
petrori01,0.5167,1352,210,773,653,237,22,661,5390,1886,3750,176,589,0,0,0,0,0,0,14,3,9,7,2,0,6,58,1886,3750,176,589,0,0,0,0,0,0,2,0,0,0
oglivbe01,0.5028,1615,235,901,784,277,33,560,5913,3399,121,74,54,0,0,0,0,0,0,11,2,3,5,1,1,2,60,3399,121,74,54,0,0,0,0,0,0,3,1,0,0
otisam01,0.5223,2020,193,1007,1092,374,66,757,7299,4940,129,48,35,0,0,0,0,0,0,23,3,11,9,6,0,8,78,4940,129,48,35,0,0,0,0,0,0,4,3,1,0
parrila01,0.4731,1789,256,992,850,360,33,529,6792,1700,1978,195,186,0,0,0,0,0,0,8,0,3,5,3,0,2,45,1700,1978,195,186,0,0,0,0,0,0,2,0,0,0
parrila02,0.4994,1782,324,1070,856,305,27,612,7067,9840,986,98,156,1043,655,0,0,0,0,8,2,5,4,2,0,3,30,9840,986,98,156,1043,655,0,0,0,0,7,9,1,0
powelbo01,0.5697,1776,339,1187,889,270,11,1001,6681,12796,880,133,1133,0,0,0,0,0,0,33,6,18,17,4,0,12,126,12796,880,133,1133,0,0,0,0,0,0,3,1,2,0
randowi01,0.5571,2210,54,687,1239,316,65,1243,8018,4859,6339,237,1547,0,0,0,0,0,0,36,4,14,19,6,1,20,162,4859,6339,237,1547,0,0,0,0,0,0,5,1,2,0
