playerID,WinPercent,H_Batting,HR_Batting,RBI_Batting,R_Batting,Doubles_Batting,Triples_Batting,BB_Batting,AB_Batting,PO_Fielding,A_Fielding,E_Fielding,DP_Fielding,SB_Fielding,CS_Fielding,ERA_Pitching,H_Pitching,SV_Pitching,BAOpp_Pitching,H_Battingp,HR_Battingp,RBI_Battingp,R_Battingp,Doubles_Battingp,Triples_Battingp,BB_Battingp,AB_Battingp,PO_Fieldingp,A_Fieldingp,E_Fieldingp,DP_Fieldingp,SB_Fieldingp,CS_Fieldingp,ERA_Pitchingp,H_Pitchingp,SV_Pitchingp,BAOpp_Pitchingp,GP_AllStar,careerAwards,WSWins,class
reidybi01,0.4918,39,0,13,19,0,1,15,245,31,160,15,8,0,0,30.75,740,2,0,0,0,0,0,0,0,0,0,31,160,15,8,0,0,30.75,740,2,0,0,0,0,0
reisla01,0.4706,5,0,1,5,0,0,1,36,3,7,4,0,0,0,4,84,0,0,0,0,0,0,0,0,0,0,3,7,4,0,0,0,4,84,0,0,0,0,0,0
roachsk01,0.5068,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,13,0,0,0,0,0,0
roweda01,0.4205,383,8,90,223,77,32,42,1458,574,160,114,22,0,0,52.25,54,0,0,0,0,0,0,0,0,0,0,574,160,114,22,0,0,52.25,54,0,0,0,0,0,0
ryanjo02,0.5524,2,0,0,2,0,0,2,25,2,12,4,1,0,0,3.35,61,0,0,0,0,0,0,0,0,0,0,2,12,4,1,0,0,3.35,61,0,0,0,0,0,0
sayloph01,0.4964,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0
scottdi01,0.3741,0,0,0,0,0,0,0,9,1,3,2,0,0,0,5.14,26,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,5.14,26,0,0,0,0,0,0
seeryem01,0.4032,893,27,300,695,152,68,471,3547,1579,183,207,26,0,0,7.71,8,0,0,0,0,0,0,0,0,0,0,1579,183,207,26,0,0,7.71,8,0,0,0,0,0,0
seymoja01,0.5000,0,0,0,0,0,0,0,4,1,2,1,0,0,0,7.88,16,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,7.88,16,0,0,0,0,0,0
shallgu01,0.5928,8,0,5,6,0,0,7,123,17,62,8,5,0,0,6.95,258,0,0,0,0,0,0,0,0,0,0,17,62,8,5,0,0,6.95,258,0,0,0,0,0,0
